         10032344 function calls (9987505 primitive calls) in 593.601 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     2522    6.570    0.003    6.570    0.003 {method 'render' of 'Font' objects}
     2522    6.554    0.003    6.554    0.003 {built-in method numpy.core.multiarray.fromstring}
     1261    0.008    0.000    6.423    0.005 C:\Data\Nano\projects\01_repositories\CarND-Advanced-Lane-Lines\test_images.py:284(unwrap)
     2522    0.076    0.000    6.313    0.003 C:\Program Files\Python37\lib\site-packages\matplotlib\axes\_base.py:2401(autoscale_view)
     1260    1.142    0.001    4.913    0.004 C:\Program Files\Python37\lib\site-packages\moviepy\video\io\ffmpeg_writer.py:130(write_frame)
     2522    0.029    0.000    4.730    0.002 C:\Program Files\Python37\lib\site-packages\matplotlib\axes\_base.py:1884(add_line)
     2522    4.317    0.002    4.317    0.002 {method 'getsize' of 'Font' objects}
     1261    0.027    0.000    4.161    0.003 C:\Program Files\Python37\lib\site-packages\PIL\Image.py:2457(fromarray)
     1261    0.006    0.000    4.133    0.003 C:\Program Files\Python37\lib\site-packages\PIL\Image.py:2396(frombuffer)
     1261    0.010    0.000    4.123    0.003 C:\Program Files\Python37\lib\site-packages\PIL\Image.py:2353(frombytes)
     1261    0.046    0.000    3.856    0.003 C:\Program Files\Python37\lib\site-packages\PIL\Image.py:711(tobytes)
     1261    3.393    0.003    3.393    0.003 {addWeighted}
     1261    0.041    0.000    3.171    0.003 C:\Program Files\Python37\lib\site-packages\PIL\ImageFont.py:253(truetype)
    18928    2.996    0.000    2.996    0.000 {method 'astype' of 'numpy.ndarray' objects}
     1261    0.013    0.000    2.855    0.002 C:\Program Files\Python37\lib\site-packages\PIL\Image.py:2322(new)
     3783    2.844    0.001    2.844    0.001 {built-in method PIL._imaging.fill}
     5044    0.207    0.000    2.726    0.001 C:\Program Files\Python37\lib\site-packages\matplotlib\axes\_base.py:2436(handle_single_axis)
     1260    2.612    0.002    2.612    0.002 {method 'tobytes' of 'numpy.ndarray' objects}
     2550    0.030    0.000    2.522    0.001 C:\Program Files\Python37\lib\site-packages\matplotlib\artist.py:663(set_clip_path)
    41057    0.070    0.000    2.498    0.000 C:\Program Files\Python37\lib\site-packages\numpy\core\fromnumeric.py:1821(sum)
     2522    0.451    0.000    2.424    0.001 C:\Program Files\Python37\lib\os.py:278(walk)
     1261    2.356    0.002    2.356    0.002 {method 'join' of 'bytes' objects}
     2522    0.801    0.000    2.013    0.001 C:\Program Files\Python37\lib\site-packages\matplotlib\axes\_base.py:2426(<listcomp>)
   699043    1.700    0.000    1.930    0.000 {built-in method builtins.next}
        1    0.000    0.000    1.911    1.911 C:\Program Files\Python37\lib\site-packages\moviepy\video\io\ffmpeg_writer.py:194(__exit__)
        1    0.000    0.000    1.911    1.911 C:\Program Files\Python37\lib\site-packages\moviepy\video\io\ffmpeg_writer.py:180(close)
        2    0.000    0.000    1.911    0.955 C:\Program Files\Python37\lib\subprocess.py:979(wait)
        2    0.000    0.000    1.911    0.955 C:\Program Files\Python37\lib\subprocess.py:1215(_wait)
        2    1.911    0.955    1.911    0.955 {built-in method _winapi.WaitForSingleObject}
     5044    0.009    0.000    1.856    0.000 C:\Program Files\Python37\lib\site-packages\matplotlib\axes\_base.py:387(_grab_next_args)
