         352011 function calls (346452 primitive calls) in 9.502 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       16    0.000    0.000    0.099    0.006 C:\Program Files\Python37\lib\site-packages\PIL\ImageFont.py:183(getmask2)
       44    0.098    0.002    0.098    0.002 {method 'decode' of 'ImagingDecoder' objects}
      160    0.002    0.000    0.098    0.001 C:\Program Files\Python37\lib\site-packages\matplotlib\axes\_base.py:1884(add_line)
      320    0.001    0.000    0.095    0.000 C:\Program Files\Python37\lib\site-packages\matplotlib\axes\_base.py:387(_grab_next_args)
      160    0.003    0.000    0.094    0.001 C:\Program Files\Python37\lib\site-packages\matplotlib\axes\_base.py:339(_plot_args)
       72    0.059    0.001    0.090    0.001 C:\Program Files\Python37\lib\site-packages\numpy\ma\core.py:3536(shrink_mask)
        8    0.001    0.000    0.084    0.010 C:\Program Files\Python37\lib\site-packages\PIL\ImageFile.py:134(load)
       16    0.000    0.000    0.082    0.005 C:\Program Files\Python37\lib\site-packages\PIL\Image.py:2457(fromarray)
       16    0.000    0.000    0.081    0.005 C:\Program Files\Python37\lib\site-packages\PIL\Image.py:2396(frombuffer)
       16    0.000    0.000    0.081    0.005 C:\Program Files\Python37\lib\site-packages\PIL\Image.py:2353(frombytes)
      196    0.008    0.000    0.069    0.000 C:\Program Files\Python37\lib\site-packages\matplotlib\lines.py:277(__init__)
      160    0.002    0.000    0.066    0.000 C:\Program Files\Python37\lib\site-packages\matplotlib\axes\_base.py:284(_makeline)
      688    0.066    0.000    0.066    0.000 {method 'encode' of 'ImagingEncoder' objects}
       24    0.064    0.003    0.064    0.003 {method 'join' of 'bytes' objects}
      260    0.004    0.000    0.062    0.000 C:\Program Files\Python37\lib\site-packages\matplotlib\artist.py:663(set_clip_path)
       16    0.000    0.000    0.061    0.004 C:\Program Files\Python37\lib\site-packages\PIL\Image.py:2322(new)
      640    0.006    0.000    0.060    0.000 C:\Program Files\Python37\lib\site-packages\numpy\core\numeric.py:2274(isclose)
       32    0.060    0.002    0.060    0.002 {built-in method PIL._imaging.fill}
       16    0.060    0.004    0.060    0.004 {method 'render' of 'Font' objects}
        8    0.000    0.000    0.058    0.007 C:\Program Files\Python37\lib\site-packages\PIL\JpegImagePlugin.py:617(_save)
        8    0.000    0.000    0.058    0.007 C:\Data\Nano\projects\01_repositories\CarND-Advanced-Lane-Lines\test_images.py:284(unwrap)
        8    0.000    0.000    0.058    0.007 C:\Program Files\Python37\lib\site-packages\PIL\ImageFile.py:463(_save)
        8    0.057    0.007    0.057    0.007 {method 'encode_to_file' of 'ImagingEncoder' objects}
        8    0.047    0.006    0.047    0.006 {method 'close' of '_io.BufferedRandom' objects}
      304    0.001    0.000    0.046    0.000 C:\Program Files\Python37\lib\site-packages\matplotlib\pyplot.py:917(gca)
      320    0.004    0.000    0.046    0.000 C:\Program Files\Python37\lib\site-packages\matplotlib\transforms.py:726(union)
      160    0.002    0.000    0.046    0.000 C:\Program Files\Python37\lib\site-packages\matplotlib\axes\_base.py:1913(_update_line_limits)
        8    0.043    0.005    0.043    0.005 {built-in method numpy.core.multiarray.fromstring}
      304    0.003    0.000    0.043    0.000 C:\Program Files\Python37\lib\site-packages\matplotlib\figure.py:1820(gca)
      260    0.001    0.000    0.042    0.000 C:\Program Files\Python37\lib\site-packages\matplotlib\patches.py:191(get_transform)
      234    0.004    0.000    0.040    0.000 C:\Program Files\Python37\lib\site-packages\matplotlib\axes\_base.py:3142(set_xlim)
       16    0.039    0.002    0.039    0.002 {method 'getsize' of 'Font' objects}
      260    0.000    0.000    0.038    0.000 C:\Program Files\Python37\lib\site-packages\matplotlib\patches.py:708(get_patch_transform)
        2    0.000    0.000    0.038    0.019 C:\Program Files\Python37\lib\site-packages\matplotlib\figure.py:1216(add_subplot)
        2    0.000    0.000    0.038    0.019 C:\Program Files\Python37\lib\site-packages\matplotlib\axes\_subplots.py:18(__init__)
      260    0.003    0.000    0.038    0.000 C:\Program Files\Python37\lib\site-packages\matplotlib\patches.py:679(_update_patch_transform)
        2    0.000    0.000    0.037    0.019 C:\Program Files\Python37\lib\site-packages\matplotlib\axes\_base.py:417(__init__)
       72    0.001    0.000    0.036    0.000 C:\Program Files\Python37\lib\site-packages\matplotlib\image.py:848(set_extent)
      277    0.035    0.000    0.035    0.000 {method 'astype' of 'numpy.ndarray' objects}
      234    0.004    0.000    0.035    0.000 C:\Program Files\Python37\lib\site-packages\matplotlib\axes\_base.py:3532(set_ylim)
       72    0.000    0.000    0.031    0.000 C:\Program Files\Python37\lib\site-packages\numpy\ma\core.py:1549(_shrink_mask)
       72    0.000    0.000    0.031    0.000 {method 'any' of 'numpy.ndarray' objects}
       72    0.000    0.000    0.031    0.000 C:\Program Files\Python37\lib\site-packages\numpy\core\_methods.py:42(_any)
      640    0.011    0.000    0.029    0.000 C:\Program Files\Python37\lib\site-packages\numpy\core\numeric.py:2350(within_tol)
        8    0.000    0.000    0.029    0.004 C:\Program Files\Python37\lib\site-packages\PIL\Image.py:2578(open)
        8    0.000    0.000    0.028    0.004 C:\Program Files\Python37\lib\site-packages\PIL\ImageFont.py:253(truetype)
      160    0.001    0.000    0.028    0.000 C:\Program Files\Python37\lib\site-packages\matplotlib\axes\_base.py:3061(set_xbound)
        8    0.028    0.004    0.028    0.004 {addWeighted}
      172    0.000    0.000    0.027    0.000 C:\Program Files\Python37\lib\site-packages\matplotlib\lines.py:939(get_path)
9588/6604    0.012    0.000    0.027    0.000 C:\Program Files\Python37\lib\site-packages\matplotlib\artist.py:225(stale)
      172    0.005    0.000    0.027    0.000 C:\Program Files\Python37\lib\site-packages\matplotlib\lines.py:637(recache)
      160    0.001    0.000    0.027    0.000 C:\Program Files\Python37\lib\site-packages\matplotlib\axes\_base.py:3469(set_ybound)
      448    0.003    0.000    0.025    0.000 C:\Program Files\Python37\lib\site-packages\matplotlib\artist.py:885(update)
        2    0.000    0.000    0.025    0.013 C:\Program Files\Python37\lib\site-packages\matplotlib\axes\_base.py:963(cla)
      260    0.001    0.000    0.023    0.000 C:\Program Files\Python37\lib\site-packages\numpy\core\fromnumeric.py:1821(sum)
  338/295    0.000    0.000    0.022    0.000 <frozen importlib._bootstrap>:1009(_handle_fromlist)
      788    0.002    0.000    0.021    0.000 C:\Program Files\Python37\lib\site-packages\matplotlib\axis.py:1460(update_units)
       16    0.000    0.000    0.021    0.001 C:\Program Files\Python37\lib\site-packages\PIL\Image.py:370(preinit)
     30/5    0.000    0.000    0.021    0.004 <frozen importlib._bootstrap>:211(_call_with_frames_removed)
     14/5    0.000    0.000    0.021    0.004 {built-in method builtins.__import__}
     16/5    0.000    0.000    0.021    0.004 <frozen importlib._bootstrap>:978(_find_and_load)
       16    0.004    0.000    0.021    0.001 C:\Program Files\Python37\lib\os.py:278(walk)
     16/5    0.000    0.000    0.021    0.004 <frozen importlib._bootstrap>:948(_find_and_load_unlocked)
       72    0.001    0.000    0.021    0.000 C:\Program Files\Python37\lib\site-packages\matplotlib\image.py:785(__init__)
     1602    0.002    0.000    0.021    0.000 C:\Program Files\Python37\lib\site-packages\numpy\core\fromnumeric.py:2016(all)
