         10032344 function calls (9987505 primitive calls) in 661.169 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     2522    7.532    0.003    7.532    0.003 {built-in method numpy.core.multiarray.fromstring}
     2522    0.093    0.000    7.418    0.003 C:\Program Files\Python37\lib\site-packages\matplotlib\axes\_base.py:2401(autoscale_view)
     2522    7.371    0.003    7.371    0.003 {method 'render' of 'Font' objects}
     1261    0.009    0.000    7.283    0.006 C:\Data\Nano\projects\01_repositories\CarND-Advanced-Lane-Lines\test_images.py:284(unwrap)
     1260    1.211    0.001    5.325    0.004 C:\Program Files\Python37\lib\site-packages\moviepy\video\io\ffmpeg_writer.py:130(write_frame)
     2522    0.034    0.000    4.884    0.002 C:\Program Files\Python37\lib\site-packages\matplotlib\axes\_base.py:1884(add_line)
     2522    4.806    0.002    4.806    0.002 {method 'getsize' of 'Font' objects}
     1261    0.030    0.000    4.592    0.004 C:\Program Files\Python37\lib\site-packages\PIL\Image.py:2457(fromarray)
     1261    0.007    0.000    4.561    0.004 C:\Program Files\Python37\lib\site-packages\PIL\Image.py:2396(frombuffer)
     1261    0.011    0.000    4.550    0.004 C:\Program Files\Python37\lib\site-packages\PIL\Image.py:2353(frombytes)
     1261    0.053    0.000    4.232    0.003 C:\Program Files\Python37\lib\site-packages\PIL\Image.py:711(tobytes)
     1261    3.671    0.003    3.671    0.003 {addWeighted}
     1261    0.047    0.000    3.559    0.003 C:\Program Files\Python37\lib\site-packages\PIL\ImageFont.py:253(truetype)
    18928    3.247    0.000    3.247    0.000 {method 'astype' of 'numpy.ndarray' objects}
     1261    0.016    0.000    3.114    0.002 C:\Program Files\Python37\lib\site-packages\PIL\Image.py:2322(new)
     3783    3.107    0.001    3.107    0.001 {built-in method PIL._imaging.fill}
     5044    0.239    0.000    3.014    0.001 C:\Program Files\Python37\lib\site-packages\matplotlib\axes\_base.py:2436(handle_single_axis)
     1260    2.810    0.002    2.810    0.002 {method 'tobytes' of 'numpy.ndarray' objects}
    41057    0.078    0.000    2.777    0.000 C:\Program Files\Python37\lib\site-packages\numpy\core\fromnumeric.py:1821(sum)
     2522    0.525    0.000    2.741    0.001 C:\Program Files\Python37\lib\os.py:278(walk)
     2550    0.035    0.000    2.655    0.001 C:\Program Files\Python37\lib\site-packages\matplotlib\artist.py:663(set_clip_path)
     1261    2.583    0.002    2.583    0.002 {method 'join' of 'bytes' objects}
        1    0.000    0.000    2.528    2.528 C:\Program Files\Python37\lib\site-packages\moviepy\video\io\ffmpeg_writer.py:194(__exit__)
        1    0.000    0.000    2.528    2.528 C:\Program Files\Python37\lib\site-packages\moviepy\video\io\ffmpeg_writer.py:180(close)
        2    0.000    0.000    2.528    1.264 C:\Program Files\Python37\lib\subprocess.py:979(wait)
        2    0.000    0.000    2.528    1.264 C:\Program Files\Python37\lib\subprocess.py:1215(_wait)
        2    2.528    1.264    2.528    1.264 {built-in method _winapi.WaitForSingleObject}
     2522    1.052    0.000    2.454    0.001 C:\Program Files\Python37\lib\site-packages\matplotlib\axes\_base.py:2426(<listcomp>)
   699043    1.912    0.000    2.266    0.000 {built-in method builtins.next}
     5044    0.010    0.000    2.171    0.000 C:\Program Files\Python37\lib\site-packages\matplotlib\axes\_base.py:387(_grab_next_args)
     2522    0.044    0.000    2.161    0.001 C:\Program Files\Python37\lib\site-packages\matplotlib\axes\_base.py:339(_plot_args)
     2522    0.022    0.000    1.963    0.001 C:\Program Files\Python37\lib\site-packages\matplotlib\axes\_base.py:284(_makeline)
     2558    0.099    0.000    1.921    0.001 C:\Program Files\Python37\lib\site-packages\matplotlib\lines.py:277(__init__)
    10088    1.655    0.000    1.655    0.000 {fillPoly}
    12818    1.599    0.000    1.604    0.000 C:\Program Files\Python37\lib\site-packages\matplotlib\transforms.py:161(set_children)
     1261    0.401    0.000    1.580    0.001 C:\Data\Nano\projects\01_repositories\CarND-Advanced-Lane-Lines\common.py:125(draw_lines)
    54223    1.566    0.000    1.566    0.000 {method 'encode' of 'ImagingEncoder' objects}
     1261    0.012    0.000    1.423    0.001 C:\Program Files\Python37\lib\site-packages\PIL\Image.py:779(frombytes)
     2522    0.028    0.000    1.422    0.001 C:\Program Files\Python37\lib\site-packages\matplotlib\axes\_base.py:1913(_update_line_limits)
  3201683    1.402    0.000    1.402    0.000 C:\Program Files\Python37\lib\site-packages\matplotlib\artist.py:962(sticky_edges)
     1261    1.389    0.001    1.389    0.001 {method 'decode' of 'ImagingDecoder' objects}
     1261    0.007    0.000    1.342    0.001 C:\Data\Nano\projects\01_repositories\CarND-Advanced-Lane-Lines\color.py:59(grayscale)
     1260    1.304    0.001    1.304    0.001 {method 'write' of '_io.BufferedWriter' objects}
     7656    0.008    0.000    1.269    0.000 C:\Program Files\Python37\lib\site-packages\matplotlib\transforms.py:1267(__add__)
     7656    0.014    0.000    1.260    0.000 C:\Program Files\Python37\lib\site-packages\matplotlib\transforms.py:2536(composite_transform_factory)
     2550    0.009    0.000    1.250    0.000 C:\Program Files\Python37\lib\site-packages\matplotlib\patches.py:191(get_transform)
     7656    0.045    0.000    1.239    0.000 C:\Program Files\Python37\lib\site-packages\matplotlib\transforms.py:2354(__init__)
    82205    1.180    0.000    1.180    0.000 {line}
     2550    0.003    0.000    1.021    0.000 C:\Program Files\Python37\lib\site-packages\matplotlib\patches.py:708(get_patch_transform)
     2550    0.068    0.000    1.018    0.000 C:\Program Files\Python37\lib\site-packages\matplotlib\patches.py:679(_update_patch_transform)
     2556    0.007    0.000    1.012    0.000 C:\Program Files\Python37\lib\site-packages\matplotlib\transforms.py:1025(__init__)
     2522    0.008    0.000    0.936    0.000 C:\Program Files\Python37\lib\site-packages\matplotlib\transforms.py:1338(contains_branch_seperately)
     2522    0.012    0.000    0.928    0.000 C:\Program Files\Python37\lib\site-packages\matplotlib\transforms.py:1318(contains_branch)
    15236    0.021    0.000    0.812    0.000 C:\Program Files\Python37\lib\site-packages\numpy\core\fromnumeric.py:1933(any)
    10088    0.067    0.000    0.754    0.000 C:\Program Files\Python37\lib\site-packages\numpy\core\numeric.py:2274(isclose)
     2558    0.006    0.000    0.735    0.000 C:\Program Files\Python37\lib\site-packages\matplotlib\lines.py:1149(set_markerfacecolor)
     2522    0.733    0.000    0.733    0.000 C:\Program Files\Python37\lib\site-packages\matplotlib\axes\_base.py:2427(<listcomp>)
     2528    0.016    0.000    0.723    0.000 C:\Program Files\Python37\lib\site-packages\matplotlib\axes\_base.py:920(_set_artist_props)
     2738    0.174    0.000    0.707    0.000 C:\Program Files\Python37\lib\site-packages\matplotlib\artist.py:885(update)
     5044    0.010    0.000    0.703    0.000 C:\Program Files\Python37\lib\site-packages\matplotlib\transforms.py:2407(_iter_break_from_left_to_right)
    22698    0.694    0.000    0.694    0.000 {built-in method numpy.core.multiarray.empty_like}
     5080    0.019    0.000    0.691    0.000 C:\Program Files\Python37\lib\site-packages\matplotlib\lines.py:607(axes)
     2522    0.021    0.000    0.675    0.000 C:\Program Files\Python37\lib\site-packages\PIL\ImageFont.py:125(__init__)
     5056    0.026    0.000    0.668    0.000 C:\Program Files\Python37\lib\site-packages\matplotlib\cbook\__init__.py:162(connect)
     2522    0.656    0.000    0.656    0.000 C:\Program Files\Python37\lib\site-packages\matplotlib\axes\_base.py:2428(<listcomp>)
     2522    0.649    0.000    0.649    0.000 {built-in method PIL._imagingft.getfont}
    35732    0.643    0.000    0.643    0.000 C:\Program Files\Python37\lib\site-packages\matplotlib\transforms.py:83(__init__)
     5056    0.632    0.000    0.635    0.000 C:\Program Files\Python37\lib\weakref.py:44(__new__)
     2522    0.359    0.000    0.635    0.000 C:\Program Files\Python37\lib\site-packages\matplotlib\cbook\__init__.py:1646(normalize_kwargs)
        1    0.000    0.000    0.598    0.598 C:\Program Files\Python37\lib\site-packages\moviepy\video\VideoClip.py:507(fl_image)
        1    0.000    0.000    0.598    0.598 C:\Program Files\Python37\lib\site-packages\moviepy\Clip.py:96(fl)
        1    0.000    0.000    0.598    0.598 <decorator-gen-57>:1(set_make_frame)
        1    0.000    0.000    0.598    0.598 C:\Program Files\Python37\lib\site-packages\moviepy\decorators.py:10(outplace)
        1    0.001    0.001    0.598    0.598 C:\Program Files\Python37\lib\site-packages\moviepy\video\VideoClip.py:661(set_make_frame)
     5044    0.049    0.000    0.566    0.000 C:\Program Files\Python37\lib\site-packages\matplotlib\transforms.py:726(union)
     2522    0.120    0.000    0.501    0.000 C:\Program Files\Python37\lib\site-packages\numpy\lib\polynomial.py:393(polyfit)
        1    0.000    0.000    0.500    0.500 C:\Program Files\Python37\lib\site-packages\moviepy\video\io\VideoFileClip.py:78(__init__)
   165749    0.498    0.000    0.498    0.000 {method 'items' of 'dict' objects}
     2522    0.476    0.000    0.476    0.000 {method 'draw_bitmap' of 'ImagingDraw' objects}
